cve_id,description,cvss_score,published_date,epss_score,days_since_published,in_cisa_kev,cisa_exploitation_deadline,has_public_poc,poc_count,min_exploit_difficulty,affected_packages_count,primary_ecosystem,has_fixed_version,attack_vector,requires_authentication,requires_user_interaction,scope_changed,in_github_advisories,github_affected_count,patch_available,otx_threat_score,malware_associated,active_exploits
CVE-2025-12604,A vulnerability has been found in itsourcecode Online Loan Management System 1.0. This affects an unknown part of the file /load_fields.php. The manipulation of the argument loan_id leads to sql injection. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used.,7.3,2025-11-02 22:15:33.407000+00:00,0.00039,119,0,-1,0,0,unknown,0,unknown,0,network,0,0,0,0,0,0,0,0,0
CVE-2025-12605,A vulnerability was found in itsourcecode Online Loan Management System 1.0. This vulnerability affects unknown code of the file /manage_loan.php. The manipulation of the argument ID results in sql injection. The attack may be launched remotely. The exploit has been made public and could be used.,7.3,2025-11-02 23:15:32.433000+00:00,0.00039,119,0,-1,0,0,unknown,0,unknown,0,network,0,0,0,0,0,0,0,0,0
CVE-2025-12606,A vulnerability was determined in itsourcecode Online Loan Management System 1.0. This issue affects some unknown processing of the file /manage_borrower.php. This manipulation of the argument ID causes sql injection. Remote exploitation of the attack is possible. The exploit has been publicly disclosed and may be utilized.,7.3,2025-11-03 00:15:32.483000+00:00,0.00039,119,0,-1,0,0,unknown,0,unknown,0,network,0,0,0,0,0,0,0,0,0
CVE-2025-12607,A vulnerability was identified in itsourcecode Online Loan Management System 1.0. Impacted is an unknown function of the file /manage_payment.php. Such manipulation of the argument ID leads to sql injection. The attack can be executed remotely. The exploit is publicly available and might be used.,7.3,2025-11-03 01:15:42.193000+00:00,0.00037,119,0,-1,0,0,unknown,0,unknown,0,network,0,0,0,0,0,0,0,0,0
CVE-2025-12608,A security flaw has been discovered in itsourcecode Online Loan Management System 1.0. The affected element is an unknown function of the file /manage_user.php. Performing manipulation of the argument ID results in sql injection. The attack is possible to be carried out remotely. The exploit has been released to the public and may be exploited.,7.3,2025-11-03 01:15:42.823000+00:00,0.00039,119,0,-1,0,0,unknown,0,unknown,0,network,0,0,0,0,0,0,0,0,0
CVE-2025-12609,A vulnerability was found in CodeAstro Gym Management System 1.0. Affected by this issue is some unknown functionality of the file /admin/update-progress.php. Performing a manipulation of the argument id/ini_weight results in sql injection. The attack may be initiated remotely. The exploit has been made public and could be used.,4.7,2025-11-03 02:15:41+00:00,0.0005,119,0,-1,0,0,unknown,0,unknown,0,network,1,0,0,0,0,0,0,0,0
CVE-2025-12610,A vulnerability was determined in CodeAstro Gym Management System 1.0. This affects an unknown part of the file /admin/view-progress-report.php. Executing a manipulation of the argument ID can lead to sql injection. The attack may be launched remotely. The exploit has been publicly disclosed and may be utilized.,4.7,2025-11-03 02:15:41.930000+00:00,0.00054,119,0,-1,0,0,unknown,0,unknown,0,network,1,0,0,0,0,0,0,0,0
CVE-2025-12611,A vulnerability was identified in Tenda AC21 16.03.08.16. This vulnerability affects the function formSetPPTPServer of the file /goform/SetPptpServerCfg. The manipulation of the argument startIp leads to buffer overflow. Remote exploitation of the attack is possible. The exploit is publicly available and might be used.,8.8,2025-11-03 03:15:40.760000+00:00,0.0016,119,0,-1,0,0,unknown,0,unknown,0,network,1,0,0,0,0,0,0,0,0
CVE-2025-12612,A security flaw has been discovered in Campcodes School Fees Payment Management System 1.0. This issue affects some unknown processing of the file /ajax.php?action=delete_course. The manipulation of the argument ID results in sql injection. The attack can be executed remotely. The exploit has been released to the public and may be used for attacks.,6.3,2025-11-03 03:15:41.643000+00:00,0.00037,119,0,-1,0,0,unknown,0,unknown,0,network,1,0,0,0,0,0,0,0,0
CVE-2025-12614,A weakness has been identified in SourceCodester Best House Rental Management System 1.0. Impacted is the function delete_payment of the file /admin_class.php. This manipulation of the argument ID causes sql injection. The attack is possible to be carried out remotely. The exploit has been made available to the public and could be exploited.,4.7,2025-11-03 03:15:41.840000+00:00,0.00035,119,0,-1,0,0,unknown,0,unknown,0,network,1,0,0,0,0,0,0,0,0
